Link,Username,Rank,Timeline,Review,Response
https://lh3.googleusercontent.com/a-/ALV-UjWHbbHyID9JAf9BHT7KFu3de-6BWe5hYGy8KCYw-eadFX8=w45-h45-p-rp-mo-ba3-br100,Saurabh Kanade,Local Guide · 37 reviews · 20 photos,6 months ago,"Amezing ClassRooms.
Air Conditioner & Fan Both are Available In Each Class.
5 Floors Building. …",Like
https://lh3.googleusercontent.com/a/ACg8ocKaRpBWNmcAV2379Q7sRK5dn039G9qSigl2QfDCg6Zw=w45-h45-p-rp-mo-ba4-br100,Rasika Pujare,Local Guide · 18 reviews · 170 photos,2 years ago,"I visited the institute as it was my examination center for the online exam. It is accessible from Thane Railway Station either by TMT BUS, Private BUS or by an auto rickshaw. The place is big as it is an engineering college but from …",
https://lh3.googleusercontent.com/a-/ALV-UjV4l0yDdua3Sgmene5dJ4SiGYfL-m7OpcayJbiztQVWZM_A=w45-h45-p-rp-mo-ba4-br100,V S,Local Guide · 22 reviews · 7 photos,2 months ago,"This was my CAT exam center. Though exam didn't go very well, center was good.
Very well organised and managed, no disturbance while taking the exam. Although it's close to the highway but still there was no noise inside, rather pin drop …",Share
https://lh3.googleusercontent.com/a-/ALV-UjUV4dlJ4SnLtsEz3qW9Ufbpx-e8lr58WzcJgMUnsO2Rulw=w45-h45-p-rp-mo-ba3-br100,Sneha Yadav,Local Guide · 7 reviews · 61 photos,4 years ago,"It's the best college in Thane, growing rapidly in academics, co-curricular and extracurricular activities. …",
https://lh3.googleusercontent.com/a-/ALV-UjWllbrtiw7IEkGM1imvZe-xDrLutjGtNbI4EXltXmMzNQ=w45-h45-p-rp-mo-ba6-br100,AJP Travel,"Local Guide · 112 reviews · 3,469 photos",2 years ago,"It is beside highway so keep check on take in right on time (otherwise need to take far away U-turn)....
While you enter there is nice green plant decorations like garden... …",
https://lh3.googleusercontent.com/a-/ALV-UjXwfmbZ_qWDiQBoEHXd4xuKv2BjECfjBOD2lGWxUqveOWU=w45-h45-p-rp-mo-ba3-br100,HARSH SHIRKE,Local Guide · 36 reviews · 55 photos,4 months ago,"Best college for engineering colleges if in front of biggest mall  minimum percentage required is above 80 percentage,40 min away from Thane railways station, government bus fare is 20rs , share rickshaw is 30rs and private rickshaw fareis 90rs",Share
https://lh3.googleusercontent.com/a-/ALV-UjUg_-uLZMQbHEimnhxcrvFiV9MY2oT4peZQwbvjQMCvYFaj=w45-h45-p-rp-mo-ba3-br100,Akansha Rawat,Local Guide · 14 reviews · 48 photos,3 years ago,"AP SHAH  INSTITUTE OF                      TECHNOLOGY

A college full of passion, whose faculty are the best in every branch ( EXTC, …",
https://lh3.googleusercontent.com/a-/ALV-UjWVmmRXcvdGvH2562hNajKRD0QWljiJXIo9I-ZAPSQicpAd=w45-h45-p-rp-mo-ba4-br100,Rajat Bopalkar,Local Guide · 111 reviews · 30 photos,4 years ago,"A.P. Shah Institute of Technology, one of the best college technical College in Thane District, located on GB road can be easily reached from central as well as western line. This college not only provides basic education but also focuses …",
https://lh3.googleusercontent.com/a-/ALV-UjUCmy3cWyqsiLxrxhgqghkLrKYzB8ELYaNV1yAwjVTmMNA=w45-h45-p-rp-mo-br100,Yash Chavan,5 reviews · 11 photos,4 years ago,"This is one of the best engineering college in Mumbai, and soon it will be one of the top institution in India. …",
https://lh3.googleusercontent.com/a/ACg8ocK9vVUJTD9OwPE6jMZnhs2pd-mQLugvxPlVIjS9N-v1=w45-h45-p-rp-mo-br100,anagha aher,3 reviews · 8 photos,4 years ago,"The Infrastructure of this college is excellent. There are a lot of extra-curricular activities that go on around the year to keep you engaged not only in books and academics but also in the various technical, sports and cultural …",
